ts_utc,ts_local,dia_semana,hora,ask,bid,spread_abs,spread_pct,rango_pct,prof_ask_usdt,prof_bid_usdt,ask2,ask3,bid2,bid3
2026-09-02 09:32:49,2026-09-02 04:32:49,3,04,966.950,962.800,4.150,0.4310,0.8108,1667608.00,120471.74,967.000,967.000,962.597,962.400
2026-09-02 13:51:32,2026-09-02 08:51:32,3,08,961.000,963.000,-2.000,-0.2077,0.2791,400317.08,236360.74,962.000,962.000,962.850,961.200
2026-09-02 17:51:17,2026-09-02 12:51:17,3,12,967.500,972.800,-5.300,-0.5448,0.3023,112916.66,628211.66,968.400,968.490,968.390,968.000
2026-09-02 20:58:18,2026-09-02 15:58:18,3,15,970.000,973.500,-3.500,-0.3595,0.0853,2590.11,939823.28,970.000,970.500,972.500,972.500
2026-09-02 23:16:25,2026-09-02 18:16:25,3,18,975.000,979.000,-4.000,-0.4086,0.3270,21479.87,208393.28,977.000,977.000,977.005,977.000
2026-09-03 01:24:49,2026-09-02 20:24:49,4,20,974.999,981.500,-6.501,-0.6624,0.3881,155705.09,247421.41,975.000,977.000,978.000,977.000
2026-09-03 06:27:43,2026-09-03 01:27:43,4,01,977.000,974.101,2.899,0.2976,0.7562,523652.72,154565.37,977.000,977.399,974.000,974.000
2026-09-03 11:40:52,2026-09-03 06:40:52,4,06,974.000,975.000,-1.000,-0.1026,0.4757,32540.89,396031.97,976.800,977.000,974.500,974.200
2026-09-03 16:21:10,2026-09-03 11:21:10,4,11,983.100,984.700,-1.600,-0.1625,0.2911,15826.62,532069.18,983.999,984.000,984.000,983.508
2026-09-03 19:24:49,2026-09-03 14:24:49,4,14,982.900,985.200,-2.300,-0.2335,0.3570,225508.70,469830.08,983.000,983.500,985.100,985.000
2026-09-03 21:52:02,2026-09-03 16:52:02,4,16,974.800,979.000,-4.200,-0.4290,0.2091,104658.47,174824.82,974.800,974.899,978.500,975.500
2026-09-03 23:59:57,2026-09-03 18:59:57,4,18,972.000,979.000,-7.000,-0.7150,0.3169,259045.57,397177.54,974.200,974.210,978.011,976.100
2026-09-04 04:22:26,2026-09-03 23:22:26,5,23,975.200,973.500,1.700,0.1746,0.5660,113460.24,215281.50,975.700,975.700,972.550,972.300
2026-09-04 09:01:18,2026-09-04 04:01:18,5,04,975.200,972.000,3.200,0.3292,0.8612,149120.00,128556.55,975.700,975.700,971.500,971.333
2026-09-04 13:27:31,2026-09-04 08:27:31,5,08,969.350,1000.000,-30.650,-3.0650,0.3606,65470.74,311217.33,971.420,972.000,979.000,975.000
2026-09-04 17:02:40,2026-09-04 12:02:40,5,12,963.000,970.000,-7.000,-0.7216,0.3328,81693.32,310481.40,963.990,963.999,967.000,964.000
2026-09-04 19:32:11,2026-09-04 14:32:11,5,14,960.311,966.000,-5.689,-0.5889,0.3646,61313.83,637894.72,962.980,962.990,966.000,965.000
2026-09-04 21:47:01,2026-09-04 16:47:01,5,16,960.000,966.500,-6.500,-0.6725,0.3798,210136.13,494538.55,960.800,960.852,965.050,965.000
2026-09-04 23:58:41,2026-09-04 18:58:41,5,18,963.390,968.000,-4.610,-0.4762,0.3837,149682.80,245311.35,964.000,964.000,967.100,967.000
2026-09-05 04:17:50,2026-09-04 23:17:50,6,23,969.000,966.000,3.000,0.3106,0.6743,173950.80,383244.75,969.399,969.400,965.990,965.750
2026-09-05 08:33:07,2026-09-05 03:33:07,6,03,968.900,965.000,3.900,0.4041,1.1868,260166.87,183982.30,969.000,969.880,964.000,964.000
2026-09-05 12:02:49,2026-09-05 07:02:49,6,07,959.890,965.100,-5.210,-0.5398,0.4700,361025.92,236647.54,965.001,966.000,965.010,965.000
2026-09-05 15:08:58,2026-09-05 10:08:58,6,10,965.000,971.000,-6.000,-0.6179,0.3000,5238.12,524127.91,965.000,965.099,970.000,968.000
